Souq,top100producturl,price,title,description,productinformation,countreview,weightvalue,weightmeasure,longestest,shortest,median,rank,sales
11,https://www.amazon.com/dp/B0813C4QZG/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B0813C4QZG&pd_rd_w=DCeLm&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=urTms&pf_rd_r=83Y99JX3BCNGJC4F4WRK&pd_rd_r=e96c9415-fcf2-4209-8e0e-114c42464d72&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyMzJTUlc2UVhIMFo0JmVuY3J5cHRlZElkPUEwMDE3NDIyMTRJVlk4TlpGQzBXUyZlbmNyeXB0ZWRBZElkPUEwNzY2OTc4MUxFNk5JVTJXSlpRTSZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,27.99,"H11 H8 H9 LED Headlight Bulbs, 12000Lm 6500K White Extremely Bright White All-in-One Conversion Kit, 2Packs Low Beam/Fog Light Bulb with CPS Chips Cooling Fan","【Upgraded H11 LED Headlight Kit】Top Automotive-Grade LED chips with 80W, 12,000 Lumens@6000K extremely bright xenon white light, super focused and stable light output, 300% brighter than original halogen bulb. The latest technology to ensure a perfect beam pattern without any dark spots or foggy light.
【Beam Adjustable Design】H11 headlight bulb come with 360° adjustable and removable adapter, you can easily mount this car LED head lamps in the reflector or projector headlight. The LED aluminum adapter can be rotated seamlessly for adjustment of the beam pattern.
【Super Long Lifespan】All-in-one LED headlight bulb kit was built-in silent cooling fan. Whole aviation aluminum body and 12,000RPM turbo cooling fan provide super cooling ability, which ensures a longer lasting up to 50,000 hours.
【Easy Installation】1:1 halogen’s design, no more modification on headlight housing, just plug and play! Directly replace your stock HID or Halogen Headlight without any issues. Built-in EMC system, these compact auto led headlight lamps kit can reduce radio interference. It fit over 98% car driving computer.
【Quality Guarantee】- IP68 waterproof, no fear of severe weather like heavy rain, snow. Fits for 12V-24V vehicles. 2 years warranty and 30 days money back guarantee. If you have any questions/problems about these automotive LED headlights, kindly ask a question below or contact us directly.
› See more product details","Product information
Technical Details
Brand IKERY
Item Weight 5.6 ounces
Package Dimensions 5.9 x 5 x 2.1 inches
Manufacturer Part Number H11-NEW
Additional Information
ASIN B0813C4QZG
Customer Reviews
3 ratings
3.9 out of 5 stars
Best Sellers Rank #89,982 in Automotive (See Top 100 in Automotive)
#608 in Headlight & Taillight Conversion Kits
Shipping Weight 5.6 ounces (View shipping rates and policies)
Date First Available November 6, 2019
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",14,5.6,ounces,5.9,5,5.6,89982,1 (30 Days Avg)
12,https://www.amazon.com/dp/B0813C4QZG/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B0813C4QZG&pd_rd_w=Gc4EX&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=8a02K&pf_rd_r=JXNC690CGA8YMKY462XX&pd_rd_r=5bcc8df1-ff80-4075-b52f-74618ee556b3&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFHRURSTVdONlpJWE0mZW5jcnlwdGVkSWQ9QTAwODI2MDMyNzNNU0lUWEk3NUtLJmVuY3J5cHRlZEFkSWQ9QTA3NjY5NzgxTEU2TklVMldKWlFNJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,27.99,"H11 H8 H9 LED Headlight Bulbs, 12000Lm 6500K White Extremely Bright White All-in-One Conversion Kit, 2Packs Low Beam/Fog Light Bulb with CPS Chips Cooling Fan","【Upgraded H11 LED Headlight Kit】Top Automotive-Grade LED chips with 80W, 12,000 Lumens@6000K extremely bright xenon white light, super focused and stable light output, 300% brighter than original halogen bulb. The latest technology to ensure a perfect beam pattern without any dark spots or foggy light.
【Beam Adjustable Design】H11 headlight bulb come with 360° adjustable and removable adapter, you can easily mount this car LED head lamps in the reflector or projector headlight. The LED aluminum adapter can be rotated seamlessly for adjustment of the beam pattern.
【Super Long Lifespan】All-in-one LED headlight bulb kit was built-in silent cooling fan. Whole aviation aluminum body and 12,000RPM turbo cooling fan provide super cooling ability, which ensures a longer lasting up to 50,000 hours.
【Easy Installation】1:1 halogen’s design, no more modification on headlight housing, just plug and play! Directly replace your stock HID or Halogen Headlight without any issues. Built-in EMC system, these compact auto led headlight lamps kit can reduce radio interference. It fit over 98% car driving computer.
【Quality Guarantee】- IP68 waterproof, no fear of severe weather like heavy rain, snow. Fits for 12V-24V vehicles. 2 years warranty and 30 days money back guarantee. If you have any questions/problems about these automotive LED headlights, kindly ask a question below or contact us directly.
› See more product details","Product information
Technical Details
Brand IKERY
Item Weight 5.6 ounces
Package Dimensions 5.9 x 5 x 2.1 inches
Manufacturer Part Number H11-NEW
Additional Information
ASIN B0813C4QZG
Customer Reviews
3 ratings
3.9 out of 5 stars
Best Sellers Rank #89,982 in Automotive (See Top 100 in Automotive)
#608 in Headlight & Taillight Conversion Kits
Shipping Weight 5.6 ounces (View shipping rates and policies)
Date First Available November 6, 2019
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",40,5.6,ounces,5.9,5,5.6,89982,1 (30 Days Avg)
3,https://www.amazon.com/dp/B07RY75FXV/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B07RY75FXV&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzNjdDR1Q2SVNOTVQyJmVuY3J5cHRlZElkPUEwODU5OTE1MlY4MzJGV0s5NFNDOCZlbmNyeXB0ZWRBZElkPUEwOTQ2MzM3MTJFVFo0UDVVSDIwTSZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,37.99,"SMX H1 Upgraded All-in-one Conversion Kit, LED Headlight Bulbs, Adjustable Beam, 6000K, 9600lm Cool Light-2 Year Warranty","Small size, can be directly sealed inside the assembly, the original car dust cover without holes, the real non-destructive installation.
Ingenuity to create precise light, light body 0.3cm spacing. Philips ZES imported lamp beads, luminous point consistent with the original car halogen, condensing increased by 100%. Lumen reached the industry's new high brightness 9600lm.
Ultra-quiet dual ball bearing vortex fan cooling, increase ventilation, thermal strength, longer life, stable and luminous no noise.Air aluminum lamp body, a better auxiliary lamp fever, prolong life.
Aluminum alloy drive, increase EMC non-polar resistance, superior anti-interference ability. Intelligent temperature control system, monitoring and regulation at all times. Achieve dynamic protection, automatic adjustment of current and lamp brightness according to the working environment.
Suitable for a variety of cars: Dodge, Ford, Toyota, GMC, Honda, Chevy,ect. If you want more models or want to know the model of your car, you can contact us.
› See more product details","Product information
Size:H1
Technical Details
Brand SMX
Model H1
Item Weight 8 ounces
Package Dimensions 6.3 x 5.7 x 2.7 inches
Manufacturer Part Number Mini8
Additional Information
ASIN B07RY75FXV
Customer Reviews
13 ratings
4.2 out of 5 stars
Best Sellers Rank #378,020 in Automotive (See Top 100 in Automotive)
#1,605 in Headlight & Taillight Conversion Kits
Shipping Weight 8 ounces (View shipping rates and policies)
Date First Available May 17, 2019
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",42,8,ounces,8,1,1,378020,1 every 2 days (30 Days Avg)
14,https://www.amazon.com/dp/B001CC6N8I/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B001CC6N8I&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUE1V0pFS1Y1ODFKM1ImZW5jcnlwdGVkSWQ9QTA0MjA0MzdESUVIM1ZNVjU3T0omZW5jcnlwdGVkQWRJZD1BMDAyMDEzMUowMlI0N0c4TlhHJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,47.95,"Life Hammer Original Emergency Hammer, Orange, 4-Pack","Double-sided, steel hammer heads breaks through side and rear windows with minimal effort
A high-quality car escape tool to help prevent automotive entrapment
Razor-sharp blade cuts easily through safety belts
Includes a mounting bracket for convenient installation
A fluorescent pin glows in the dark for easy retrieval
› See more product details","Product information
Technical Details
Brand Lifehammer
Item Weight 9.6 ounces
Product Dimensions 9.2 x 3 x 6 inches
Item model number LifeHammer
Manufacturer Part Number LH-RET-01
Additional Information
ASIN B001CC6N8I
Customer Reviews
21 ratings
4.5 out of 5 stars
Best Sellers Rank #351,573 in Automotive (See Top 100 in Automotive)
#200 in Automotive Escape Tools
Shipping Weight 9.6 ounces (View shipping rates and policies)
Date First Available January 2, 2007
Warranty & Support
Warranty, Parts:Parts
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",426,9.6,ounces,9.6,3,9.2,351573,1 every 2 days (30 Days Avg)
4,https://www.amazon.com/dp/B0813C4QZG/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B0813C4QZG&pd_rd_w=bis9m&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=rWnnL&pf_rd_r=N0K5VKP0WK0TVM90NTJE&pd_rd_r=14633a96-f355-4eea-ab80-9aed768ee296&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEySTczNFZGNlVLRlhNJmVuY3J5cHRlZElkPUEwNTc5Mzg3VTgwMEQ5VDZFRDQzJmVuY3J5cHRlZEFkSWQ9QTA3NjY5NzgxTEU2TklVMldKWlFNJndpZGdldE5hbWU9c3BfZGV0YWlsJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,27.99,"H11 H8 H9 LED Headlight Bulbs, 12000Lm 6500K White Extremely Bright White All-in-One Conversion Kit, 2Packs Low Beam/Fog Light Bulb with CPS Chips Cooling Fan","【Upgraded H11 LED Headlight Kit】Top Automotive-Grade LED chips with 80W, 12,000 Lumens@6000K extremely bright xenon white light, super focused and stable light output, 300% brighter than original halogen bulb. The latest technology to ensure a perfect beam pattern without any dark spots or foggy light.
【Beam Adjustable Design】H11 headlight bulb come with 360° adjustable and removable adapter, you can easily mount this car LED head lamps in the reflector or projector headlight. The LED aluminum adapter can be rotated seamlessly for adjustment of the beam pattern.
【Super Long Lifespan】All-in-one LED headlight bulb kit was built-in silent cooling fan. Whole aviation aluminum body and 12,000RPM turbo cooling fan provide super cooling ability, which ensures a longer lasting up to 50,000 hours.
【Easy Installation】1:1 halogen’s design, no more modification on headlight housing, just plug and play! Directly replace your stock HID or Halogen Headlight without any issues. Built-in EMC system, these compact auto led headlight lamps kit can reduce radio interference. It fit over 98% car driving computer.
【Quality Guarantee】- IP68 waterproof, no fear of severe weather like heavy rain, snow. Fits for 12V-24V vehicles. 2 years warranty and 30 days money back guarantee. If you have any questions/problems about these automotive LED headlights, kindly ask a question below or contact us directly.
› See more product details","Product information
Technical Details
Brand IKERY
Item Weight 5.6 ounces
Package Dimensions 5.9 x 5 x 2.1 inches
Manufacturer Part Number H11-NEW
Additional Information
ASIN B0813C4QZG
Customer Reviews
3 ratings
3.9 out of 5 stars
Best Sellers Rank #57,137 in Automotive (See Top 100 in Automotive)
#468 in Headlight & Taillight Conversion Kits
Shipping Weight 5.6 ounces (View shipping rates and policies)
Date First Available November 6, 2019
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",189,5.6,ounces,5.9,5,5.6,57137,2 (30 Days Avg)
17,https://www.amazon.com/Swigzy-Holder-Expander-Adapter-Adjustable/dp/B0752DZ1SB/ref=pd_bxgy_263_2/146-6369484-9247402?_encoding=UTF8&pd_rd_i=B0752DZ1SB&pd_rd_r=03bd150a-90ae-4c12-9732-aa95abe097f4&pd_rd_w=6GIqt&pd_rd_wg=Vox1u&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=9KSN8ND3V4RVQ3FH16J7&psc=1&refRID=9KSN8ND3V4RVQ3FH16J7,25.99,Swigzy Car Cup Holder Expander Adapter with Adjustable Base - Rubber Tabs Hold Most 32 - 40 oz Bottles and Large Cups,"EXTENDABLE BASE: Insert is expandable from 2.5""-3.75"" in diameter to fit many different automotive cupholders. It also works great for golf-carts, motorcycles, boats, trucks, and RV's.
RUBBER TABS SECURELY HOLD 3.4""-3.8"" DIAMETER BOTTLES: The rubber tabs are firm enough to keep your bottle from tipping over while driving, yet soft enough to let you easily remove your bottle when you want a drink.
EXTENDER DESIGNED FOR OVERSIZE (3.4""-3.8"" diameter) BOTTLES: Adapter works best with bottles/cups 3.4""-3.8"" in diameter and fits most 32 oz. - 40 oz. water bottles. Slot on side allows mugs with handles to fit.
ONE YEAR WARRANTY: The adapter is made from high quality ABS and is designed to handle even the most rugged driving conditions. We stand behind our product 100%
EASY TO ADD OR REMOVE FROM CUP HOLDER: Just twist the top of the adapter to expand or retract the base, allowing you to add or remove the adapter like a pro! (SEE PRODUCT DESCRIPTION TO MAKE SURE THE ADAPTER WILL FIT YOUR VEHICLES CUP HOLDERS)
› See more product details","Product information
Technical Details
Brand Swigzy
Item Weight 10.1 ounces
Product Dimensions 4.4 x 4.4 x 6.2 inches
Item model number 13
Manufacturer Part Number CH-1
Folding No
Vehicle Service Type All of the above
Additional Information
ASIN B0752DZ1SB
Customer Reviews
840 ratings
4.6 out of 5 stars
Best Sellers Rank #643 in Automotive (See Top 100 in Automotive)
#4 in Automotive Cup Holders
Shipping Weight 12 ounces (View shipping rates and policies)
Date First Available August 22, 2017
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",,,,10.1,4.4,4.4,643,23 (30 Days Avg)
6,https://www.amazon.com/BAFX-Products-Reader-Diagnostics-Devices/dp/B078K54MT5/ref=pd_bxgy_263_3/146-6369484-9247402?_encoding=UTF8&pd_rd_i=B078K54MT5&pd_rd_r=88255155-a667-4e19-857a-74e5fc5b6bf7&pd_rd_w=EznPZ&pd_rd_wg=idRUK&pf_rd_p=09627863-9889-4290-b90a-5e9f86682449&pf_rd_r=D9N6AE3R5WX1280KX8VM&psc=1&refRID=D9N6AE3R5WX1280KX8VM,26.99,"BAFX Products Wireless WiFi OBD2 / OBDII Code Reader & Scanner for iOS Devices (iPhone, iPad) Read & Clear Your Check Engine Light & More!","NEW! - The BAFX products OBD reader, WiFi version, for use with iOS (Apple) devices! If you have Android or Windows devices we still recommend our Bluetooth version. Now all Apple users can enjoy the same great benefits of our OBD reader with the WiFi version for iOS! Please note, when using our WiFi OBD reader you cannot also obtain internet through WiFi at the same time.
EASY - Super easy iOS setup instructions included along with links to simple to follow setup videos for both iOS & Android! You will need to purchase a 3rd party app to use the OBD reader with. These apps range in price from $10-$50 depending on your needs. Please contact BAFX Products for a list of recommended apps.
READ & CLEAR - Read & clear your vehicles ""Check Engine Light"" easily and quickly to determine the problem with your vehicle and get it fixed. No more trips to the dealer or auto parts store for diagnosis! Please note, it cannot read or clear ABS/SRS/TPMS/VSC or any other non-OBD2 related lights.
WORKS - Works with ALL consumer vehicles purchased in the USA that are model year 1996 or newer, we GUARANTEE it! Unlike other brands who may or may not work with J1850 or CAN vehicles. If your vehicle was not purchased in the USA, please contact BAFX Products with where the vehicle was purchased so they can help determine compatibility for you.
WARRANTY - 2 Year manufacturer Warranty against all manufacturing defects! Yes, you heard that right, TWO full years! Our super simple Warranty process is very easy, stress free and fast! BAFX Products also offer all USA based support! Need help? Have questions? Having problems? Get in touch with BAFX Products and one of their friendly staff is ready and waiting to help!
› See more product details","Product information
Technical Details
Brand BAFX Products
Model (for iOS Devices)
Item Weight 3.2 ounces
Package Dimensions 4.4 x 3.2 x 1.5 inches
Item model number 8523900508
Manufacturer Part Number BAFX1278
Cover Included 1
Additional Information
ASIN B078K54MT5
Customer Reviews
546 ratings
4.5 out of 5 stars
Best Sellers Rank #640 in Automotive (See Top 100 in Automotive)
#9 in Code Readers & Scan Tools
Shipping Weight 3.2 ounces (View shipping rates and policies)
Date First Available December 21, 2017
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",,,,4.4,3.2,3.2,640,24 (30 Days Avg)
0,https://www.amazon.com/dp/B07VGFTZFR/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B07VGFTZFR&pd_rd_w=LxABi&pf_rd_p=45a72588-80f7-4414-9851-786f6c16d42b&pd_rd_wg=HRA03&pf_rd_r=X92VQGXSEPTKSFJ5MSCJ&pd_rd_r=c73b6067-6a71-4486-a9aa-2b33ce3a3ecc&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFIRjdDNU9NS0JRTU0mZW5jcnlwdGVkSWQ9QTAyNDg5MDlaNDJVV0VTNDZQMEwmZW5jcnlwdGVkQWRJZD1BMDgxNTEyODExME9RV1hDQzM2WDQmd2lkZ2V0TmFtZT1zcF9kZXRhaWwmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,49.95,"Cougar Motor Wireless H13 LED Headlight Bulb, 10000Lm 6500K Slim All-in-One Conversion Kit - Cool White","ULTRA BRIGHT: Custom-made ZES lighting source up to 10,000 Lm/pair, 6500K cool white, 300%+ brighter than halogen one, greatly enhancing luminous efficiency. More even & wider beam angle for safer nighttime driving.
PERFECT MATCH: Cougar Motor H13 LED headlight bulb in 1:1 size vs original halogen bulb, identical luminous position, still the perfect beam pattern, but performance exceeds! The most ideal LEDs to upgrade your headlight.
WORRY-FREE INSTALL: True All-in-one design. Wireless. No modification required. Plug and play on almost 100% vehicles in the world! Super quick start under any condition.
HEAT KILLS: Smartest air-cooling system ever, speedy side turbo fan for instant heat dissipation. Cutting-edge auto temp regulator delivers immediate cooling effect, extending lifespan to 30,000 hrs.
PREMIUM QUALITY: Tested and approved. Rugged airship-class aluminum full housing sustains 5 times tougher than ever. Works in all weather! IP67 waterproof, heatproof, anti-corrosion.
› See more product details","Product information
Technical Details
Brand Cougar Motor
Item Weight 5.6 ounces
Product Dimensions 5.4 x 2.2 x 4.6 inches
Item model number H13
Manufacturer Part Number CCD19-07-M3-H13-COU
OEM Part Number H13
Special Features Cougar Motor Wireless H13 LED Headlight, 10000 Lm w/ Prime ZES Chips, 6500K Cool White Light, Plug-N-Play for 99% Vehicles, Polarity-Free, IP67 Waterproof, Street legal. **NOTE: For some sensitive vehicles like newer Jeep, Dodge,some European vehicles, it may require to add anti flicker harness in addition. If you need, please just contact us.
Additional Information
ASIN B07VGFTZFR
Customer Reviews
26 ratings
4.5 out of 5 stars
Best Sellers Rank #9,482 in Automotive (See Top 100 in Automotive)
#138 in Headlight & Taillight Conversion Kits
Shipping Weight 5.6 ounces (View shipping rates and policies)
Date First Available July 17, 2019
Warranty & Support
Product Warranty: For warranty information about this product, please click here
Feedback
If you are a seller for this product, would you like to suggest updates through seller support?
Would you like to tell us about a lower price?",27,5.6,ounces,5.6,2.2,5.4,9482,5 (30 Days Avg)
